Bit Of Aerosiderite,bit-of-aerosiderite,Wednesday,Saturday,Sunday,Hidden Palace of Lianshan Formula
Boreal Wolf's Broken Fang,boreal-wolfs-broken-fang,Tuesday,Friday,Sunday,Cecilia Garden
Boreal Wolf's Cracked Tooth,boreal-wolfs-cracked-tooth,Tuesday,Friday,Sunday,Cecilia Garden
Boreal Wolf's Milk Tooth,boreal-wolfs-milk-tooth,Tuesday,Friday,Sunday,Cecilia Garden
Boreal Wolf's Nostalgia,boreal-wolfs-nostalgia,Tuesday,Friday,Sunday,Cecilia Garden
Chains of the Dandelion Gladiator,chains-of-the-dandelion-gladiator,Wednesday,Saturday,Sunday,Cecilia Garden
Chunk of Aerosiderite,chunk-of-aerosiderite,Wednesday,Saturday,Sunday,Hidden Palace of Lianshan Formula
Debris of Decarabian's City,debris-of-decarabians-city,Monday,Thursday,Sunday,Cecilia Garden
Divine Body from Guyun,divine-body-from-guyun,Monday,Thursday,Sunday,Hidden Palace of Lianshan Formula
Dream of the Dandelion Gladiator,dream-of-the-dandelion-gladiator,Wednesday,Saturday,Sunday,Cecilia Garden
Fetters of the Dandelion Gladiator,fetters-of-the-dandelion-gladiator,Wednesday,Saturday,Sunday,Cecilia Garden
Fragment of Decarabian's Epic,fragment-of-decarabians-epic,Monday,Thursday,Sunday,Cecilia Garden
Grain of Aerosiderite,grain-of-aerosiderite,Wednesday,Saturday,Sunday,Hidden Palace of Lianshan Formula
Luminous Sands from Guyun,luminous-sands-from-guyun,Monday,Thursday,Sunday,Hidden Palace of Lianshan Formula
Lustrous Stone from Guyun,lustrous-stone-from-guyun,Monday,Thursday,Sunday,Hidden Palace of Lianshan Formula
Mist Veiled Gold Elixir,mist-veiled-gold-elixir,Tuesday,Friday,Sunday,Hidden Palace of Lianshan Formula
Mist Veiled Lead Elixir,mist-veiled-lead-elixir,Tuesday,Friday,Sunday,Hidden Palace of Lianshan Formula
Mist Veiled Mercury Elixir,mist-veiled-mercury-elixir,Tuesday,Friday,Sunday,Hidden Palace of Lianshan Formula
Mist Veiled Primo Elixir,mist-veiled-primo-elixir,Tuesday,Friday,Sunday,Hidden Palace of Lianshan Formula
Piece of Aerosiderite,piece-of-aerosiderite,Wednesday,Saturday,Sunday,Hidden Palace of Lianshan Formula
Relic from Guyun,relic-from-guyun,Monday,Thursday,Sunday,Hidden Palace of Lianshan Formula
Scattered Piece of Decarabian's Dream,scattered-piece-of-decarabians-dream,Monday,Thursday,Sunday,Cecilia Garden
Shackles of the Dandelion Gladiator,shackles-of-the-dandelion-gladiator,Wednesday,Saturday,Sunday,Cecilia Garden
Tile of Decarabian's Tower,tile-of-decarabians-tower,Monday,Thursday,Sunday,Cecilia Garden
Agent's Sacrificial Knife,agents-sacrificial-knife,None,None,None,Teyvat
Black Bronze Horn,black-bronze-horn,None,None,None,Teyvat
Black Crystal Horn,black-crystal-horn,None,None,None,Teyvat
Chaos Circuit,chaos-circuit,None,None,None,Teyvat
Chaos Core,chaos-core,None,None,None,Teyvat
Chaos Device,chaos-device,None,None,None,Teyvat
Damaged Mask,damaged-mask,None,None,None,Teyvat
Dead Ley Line Branch,dead-ley-line-branch,None,None,None,Teyvat
Dead Ley Line Leaves,dead-ley-line-leaves,None,None,None,Teyvat
Divining Scroll,divining-scroll,None,None,None,Teyvat
Energy Nectar,energy-nectar,None,None,None,Teyvat
Firm Arrowhead,firm-arrowhead,None,None,None,Teyvat
Forbidden Curse Scroll,forbidden-curse-scroll,None,None,None,Teyvat
Fossilized Bone Shard,fossilized-bone-shard,None,None,None,Liyue
Fragile Bone Shard,fragile-bone-shard,None,None,None,Liyue
Golden Raven Insignia,golden-raven-insignia,None,None,None,Teyvat
Heavy Horn,heavy-horn,None,None,None,Teyvat
Hunter's Sacrificial Knife,hunters-sacrificial-knife,None,None,None,Teyvat
Inspector's Sacrificial Knife,inspectors-sacrificial-knife,None,None,None,Teyvat
Ley Line Sprouts,ley-line-sprouts,None,None,None,Teyvat
Lieutenant's Insignia,lieutenants-insignia,None,None,None,Teyvat
Mist Grass,mist-grass,None,None,None,Teyvat
Mist Grass Pollen,mist-grass-pollen,None,None,None,Teyvat
Mist Grass Wick,mist-grass-wick,None,None,None,Teyvat
Ominous Mask,ominous-mask,None,None,None,Teyvat
Recruit's Insignia,recruits-insignia,None,None,None,Teyvat
Sealed Scroll,sealed-scroll,None,None,None,Teyvat
Sergeant's Insignia,sergeants-insignia,None,None,None,Teyvat
Sharp Arrowhead,sharp-arrowhead,None,None,None,Teyvat
Shimmering Nectar,shimmering-nectar,None,None,None,Teyvat
Silver Raven Insignia,silver-raven-insignia,None,None,None,Teyvat
Slime Concentrate,slime-concentrate,None,None,None,Teyvat
Slime Condensate,slime-condensate,None,None,None,Teyvat
Slime Secretions,slime-secretions,None,None,None,Teyvat
Stained Mask,stained-mask,None,None,None,Teyvat
Sturdy Bone Shard,sturdy-bone-shard,None,None,None,Liyue
Treasure Hoarder Insignia,treasure-hoarder-insignia,None,None,None,Teyvat
Weathered Arrowhead,weathered-arrowhead,None,None,None,Teyvat
Whopperflower Nectar,whopperflower-nectar,None,None,None,Teyvat
Dvalin's Claw,dvalins-claw,None,None,None,stormterror
Dvalin's Plume,dvalins-plume,None,None,None,stormterror
Dvalin's Sigh,dvalins-sigh,None,None,None,stormterror
Guide to 'Ballad',guide-to-ballad,Wednesday,Saturday,Sunday,Forsaken Rift
Guide to 'Freedom',guide-to-freedom,Monday,Thursday,Sunday,Forsaken Rift
Guide to 'Resistance',guide-to-resistance,Tuesday,Friday,Sunday,Forsaken Rift
Philosophies of 'Ballad',philosophies-of-ballad,Wednesday,Saturday,Sunday,Forsaken Rift
Philosophies of 'Freedom',philosophies-of-freedom,Monday,Thursday,Sunday,Forsaken Rift
Philosophies of 'Resistance',philosophies-of-resistance,Tuesday,Friday,Sunday,Forsaken Rift
Teachings of 'Ballad',teachings-of-ballad,Wednesday,Saturday,Sunday,Forsaken Rift
Teachings of 'Freedom',teachings-of-freedom,Monday,Thursday,Sunday,Forsaken Rift
Teachings of 'Resistance',teachings-of-resistance,Tuesday,Friday,Sunday,Forsaken Rift
Guide to 'Diligence',guide-to-diligence,Tuesday,Friday,Sunday,Taishan Mansion
Guide to 'Gold',guide-to-gold,Wednesday,Saturday,Sunday,Taishan Mansion
Guide to 'Prosperity',guide-to-prosperity,Monday,Thursday,Sunday,Taishan Mansion
Philosophies of 'Diligence',philosophies-of-diligence,Tuesday,Friday,Sunday,Taishan Mansion
Philosophies of 'Gold',philosophies-of-gold,Wednesday,Saturday,Sunday,Taishan Mansion
Philosophies of 'Prosperity',philosophies-of-prosperity,Monday,Thursday,Sunday,Taishan Mansion
Teachings of 'Diligence',teachings-of-diligence,Tuesday,Friday,Sunday,Taishan Mansion
Teachings of 'Gold',teachings-of-gold,Wednesday,Saturday,Sunday,Taishan Mansion
Teachings of 'Prosperity',teachings-of-prosperity,Monday,Thursday,Sunday,Taishan Mansion
Ring of Boreas,ring-of-boreas,None,None,None,Andrius
Shadow of the Warrior,shadow-of-the-warrior,None,None,None,Tartaglia
Shard of a Foul Legacy,shard-of-a-foul-legacy,None,None,None,Tartaglia
Spirit Locket of Boreas,spirit-locket-of-boreas,None,None,None,Andrius
Tail of Boreas,tail-of-boreas,None,None,None,Andrius
Tusk of Monoceros Caeli,tusk-of-monoceros-caeli,None,None,None,Tartaglia
Calla Lily,calla-lily,None,None,None,Mondstadt
Cecilia,cecilia,None,None,None,Mondstadt
Dandelion Seed,dandelion-seed,None,None,None,Mondstadt
Philanemo Mushroom,philanemo-mushroom,None,None,None,Mondstadt
Small Lamp Grass,small-lamp-grass,None,None,None,Mondstadt
Valberry,valberry,None,None,None,Mondstadt
Windwheel Aster,windwheel-aster,None,None,None,Mondstadt
Wolfhook,wolfhook,None,None,None,Mondstadt
Cor Lapis,cor-lapis,None,None,None,Liyue
Glaze Lily,glaze-lily,None,None,None,Liyue
Jueyun Chili,jueyun-chili,None,None,None,Liyue
Noctilucous Jade,noctilucous-jade,None,None,None,Liyue
Qingxin,qingxin,None,None,None,Liyue
Silk Flower,silk-flower,None,None,None,Liyue
Starconch,starconch,None,None,None,Liyue
Violetgrass,violetgrass,None,None,None,Liyue
Brilliant Diamond Sliver,brilliant-diamond-sliver,None,None,None,Adventure Rank
Brilliant Diamond Fragment,brilliant-diamond-fragment,None,None,None,Adventure Rank
Brilliant Diamond Chunk,brilliant-diamond-chunk,None,None,None,Adventure Rank
Brilliant Diamond Gemstone,brilliant-diamond-gemstone,None,None,None,Adventure Rank
Vayuda Turquoise Sliver,vayuda-turquoise-sliver,None,None,None,Anemo Hypostasis
Vayuda Turquoise Fragment,vayuda-turquoise-fragment,None,None,None,Anemo Hypostasis
Vayuda Turquoise Chunk,vayuda-turquoise-chunk,None,None,None,Anemo Hypostasis
Vayuda Turquoise Gemstone,vayuda-turquoise-gemstone,None,None,None,Anemo Hypostasis
Shivada Jade Sliver,shivada-jade-sliver,None,None,None,Cryo Regisvine
Shivada Jade Fragment,shivada-jade-fragment,None,None,None,Cryo Regisvine
Shivada Jade Chunk,shivada-jade-chunk,None,None,None,Cryo Regisvine
Shivada Jade Gemstone,shivada-jade-gemstone,None,None,None,Cryo Regisvine
Vajrada Amethyst Sliver,vajrada-amethyst-sliver,None,None,None,Electro Hypostasis
Vajrada Amethyst Fragment,vajrada-amethyst-fragment,None,None,None,Electro Hypostasis
Vajrada Amethyst Chunk,vajrada-amethyst-chunk,None,None,None,Electro Hypostasis
Vajrada Amethyst Gemstone,vajrada-amethyst-gemstone,None,None,None,Electro Hypostasis
Prithiva Topaz Sliver,prithiva-topaz-sliver,None,None,None,Geo Hypostasis
Prithiva Topaz Fragment,prithiva-topaz-fragment,None,None,None,Geo Hypostasis
Prithiva Topaz Chunk,prithiva-topaz-chunk,None,None,None,Geo Hypostasis
Prithiva Topaz Gemstone,prithiva-topaz-gemstone,None,None,None,Geo Hypostasis
Varunada Lazurite Sliver,varunada-lazurite-sliver,None,None,None,Oceanid
Varunada Lazurite Fragment,varunada-lazurite-fragment,None,None,None,Oceanid
Varunada Lazurite Chunk,varunada-lazurite-chunk,None,None,None,Oceanid
Varunada Lazurite Gemstone,varunada-lazurite-gemstone,None,None,None,Oceanid
Agnidus Agate Sliver,agnidus-agate-sliver,None,None,None,Pyro Regisvine
Agnidus Agate Fragment,agnidus-agate-fragment,None,None,None,Pyro Regisvine
Agnidus Agate Chunk,agnidus-agate-chunk,None,None,None,Pyro Regisvine
Agnidus Agate Gemstone,agnidus-agate-gemstone,None,None,None,Pyro Regisvine
Hurricane Seed,hurricane-seed,None,None,None,Anemo Hypostasis
Hoarfrost Core,hoarfrost-core,None,None,None,Cryo Regisvine
Lightning Prism,lightning-prism,None,None,None,Electro Hypostasis
Basalt Pillar,basalt-pillar,None,None,None,Geo Hypostasis
Cleansing Heart,cleansing-heart,None,None,None,Oceanid
Everflame Seed,everflame-seed,None,None,None,Pyro Regisvine